Transport_ID,Farm_ID,Market_ID,Vehicle_Type,Distance_km,Departure_Date,Arrival_Date,Transport_Time_hours,Fuel_Cost,Quantity_Transported_kg,Quantity_Damaged_kg,Road_Condition
T0250,F0168,M0187,Open Truck,1194,1/31/2024,1/31/2024 8:00,8,237999.1,1310,237,Fair
T0251,F0108,M0162,Refrigerated Truck,1130,7/17/2024,7/19/2024 0:00,48,120439.78,1433,272,Poor
T0252,F0106,M0038,Mini Van,1047,5/21/2024,5/23/2024 21:00,69,30484.28,8140,577,Fair
T0253,F0071,M0220,Mini Van,102,8/9/2024,8/9/2024 7:00,7,244543.18,1267,208,Poor
T0254,F0056,M0194,Refrigerated Truck,901,3/15/2024,3/16/2024 11:00,35,181015.98,8532,1726,Fair
T0255,F0263,M0049,Mini Van,281,7/25/2024,7/27/2024 20:00,68,197457.77,4899,125,Fair
T0256,F0187,M0047,Refrigerated Truck,896,4/9/2024,4/10/2024 22:00,46,61551.33,947,177,Poor
T0257,F0252,M0106,Mini Van,686,9/30/2024,9/30/2024 17:00,17,79961.91,4902,1371,Fair
T0258,F0220,M0108,Open Truck,615,10/25/2024,10/26/2024 23:00,47,36936.54,10391,2672,Good
T0259,F0175,M0060,Open Truck,513,6/27/2024,6/28/2024 1:00,25,210261.54,10342,751,Fair
T0260,F0038,M0173,Refrigerated Truck,887,3/14/2024,3/15/2024 10:00,34,217983.64,1673,414,Poor
T0261,F0244,M0243,Refrigerated Truck,249,10/5/2024,10/7/2024 10:00,58,163340.62,1801,373,Good
T0262,F0191,M0132,Refrigerated Truck,52,7/23/2024,7/23/2024 10:00,10,60369.71,6413,636,Good
T0263,F0234,M0242,Open Truck,896,2/3/2024,2/5/2024 19:00,67,15889.71,4195,767,Good
T0264,F0138,M0159,Refrigerated Truck,903,4/8/2024,4/10/2024 1:00,49,43084.04,4996,1261,Poor
T0265,F0104,M0032,Refrigerated Truck,887,3/15/2024,3/18/2024 0:00,72,147926.16,8381,1125,Fair
T0266,F0108,M0214,Mini Van,329,10/22/2024,10/23/2024 13:00,37,143178.52,982,38,Fair
T0267,F0268,M0195,Mini Van,426,1/30/2024,1/30/2024 12:00,12,100353.09,2856,498,Poor
T0268,F0112,M0163,Open Truck,75,6/5/2024,6/6/2024 2:00,26,132619.22,1095,118,Poor
T0269,F0264,M0122,Refrigerated Truck,811,10/4/2024,10/6/2024 17:00,65,178875.36,6175,230,Good
T0270,F0198,M0227,Mini Van,1197,8/3/2024,8/5/2024 18:00,66,220295.42,9331,177,Good
T0271,F0028,M0142,Mini Van,420,5/25/2024,5/26/2024 1:00,25,139646.23,6500,1904,Good
T0272,F0012,M0214,Open Truck,465,3/24/2024,3/26/2024 18:00,66,166861.61,580,99,Poor
T0273,F0007,M0105,Refrigerated Truck,96,2/27/2024,2/29/2024 9:00,57,61352.14,8854,723,Fair
T0274,F0039,M0151,Mini Van,959,2/12/2024,2/13/2024 5:00,29,62574.25,2299,415,Poor
T0275,F0247,M0159,Open Truck,884,8/21/2024,8/22/2024 0:00,24,238112.79,6695,1412,Fair
T0276,F0257,M0212,Mini Van,1146,8/27/2024,8/27/2024 7:00,7,153994.76,6808,755,Fair
T0277,F0174,M0136,Open Truck,1004,9/9/2024,9/9/2024 9:00,9,211543.1,2221,149,Poor
T0278,F0277,M0160,Open Truck,75,8/20/2024,8/22/2024 4:00,52,244589.69,5077,885,Good
T0279,F0046,M0010,Mini Van,470,8/25/2024,8/25/2024 14:00,14,32169.34,8986,522,Fair
T0280,F0284,M0093,Mini Van,1049,12/12/2024,12/14/2024 6:00,54,36559.8,10068,105,Fair
T0281,F0058,M0200,Mini Van,916,8/24/2024,8/25/2024 1:00,25,232864.76,7047,753,Good
T0282,F0050,M0157,Open Truck,1089,10/5/2024,10/7/2024 15:00,63,139417.21,6090,762,Poor
T0283,F0240,M0207,Open Truck,992,11/3/2024,11/4/2024 1:00,25,44736.82,6239,1534,Fair
T0284,F0264,M0187,Open Truck,929,4/5/2024,4/6/2024 4:00,28,109584.75,5797,1250,Fair
T0285,F0115,M0225,Refrigerated Truck,901,7/19/2024,7/19/2024 3:00,3,179486.6,7175,1635,Fair
T0286,F0179,M0074,Mini Van,601,12/5/2024,12/7/2024 17:00,65,240127.37,494,54,Good
T0287,F0079,M0238,Open Truck,1069,2/2/2024,2/2/2024 13:00,13,44455.57,3665,729,Poor
T0288,F0157,M0049,Refrigerated Truck,1154,5/19/2024,5/21/2024 19:00,67,65971.77,5608,357,Poor
T0289,F0046,M0206,Mini Van,922,2/26/2024,2/26/2024 16:00,16,84268.28,8819,41,Poor
T0290,F0094,M0106,Open Truck,184,11/11/2024,11/12/2024 1:00,25,178896.77,10248,2164,Good
T0291,F0145,M0120,Mini Van,1156,2/2/2024,2/4/2024 21:00,69,225112.58,7130,155,Good
T0292,F0193,M0068,Refrigerated Truck,163,9/27/2024,9/28/2024 13:00,37,137320.76,1421,316,Poor
T0293,F0006,M0081,Mini Van,761,3/18/2024,3/18/2024 23:00,23,229074.66,8125,659,Poor
T0294,F0018,M0179,Open Truck,340,1/20/2024,1/20/2024 18:00,18,56454.29,3592,150,Fair
T0295,F0161,M0022,Mini Van,974,1/4/2024,1/4/2024 17:00,17,41168.8,3783,732,Fair
T0296,F0088,M0127,Open Truck,491,2/27/2024,2/29/2024 17:00,65,145595.95,8674,296,Poor
T0297,F0064,M0057,Mini Van,411,3/21/2024,3/21/2024 23:00,23,90162.01,3854,657,Good
T0298,F0186,M0023,Refrigerated Truck,596,6/15/2024,6/15/2024 10:00,10,131846.63,6344,1173,Poor
T0299,F0300,M0068,Open Truck,470,5/2/2024,5/4/2024 5:00,53,82163.96,10007,2955,Good
T0300,F0169,M0002,Refrigerated Truck,1063,3/17/2024,3/19/2024 23:00,71,124441.83,4672,168,Poor
